Crop,Variety,Region,Season,Soil_Type,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Yield
Tomato,Roma,Tamil Nadu,Rabi,Loamy,95.18468671,64.13293148,84.85266428,27.73772598,46.67368616,6.375922131,210.3588106,47007.93
Sugarcane,Co 99004,Karnataka,Kharif,Saline,136.2858867,87.23076222,50.04944304,32.73494276,87.23688763,4.597771262,191.027302,78048.82
Maize,Flint,Karnataka,Kharif,Sandy,121.9616025,47.06645946,13.92285524,14.42770488,99.09733816,5.889972726,226.3671956,5990.34
Rice,Jasmine,West Bengal,Kharif,Saline,34.92482579,75.64440109,43.74820084,24.65109539,44.50607888,4.711904807,287.0205886,4535.66
Rice,Arborio,Andhra Pradesh,Kharif,Silt,69.59206868,18.89256971,88.66242599,36.74267252,52.99806354,6.53735716,51.92579774,6218.2
Potato,Red,West Bengal,Rabi,Loamy,62.70899404,74.33003542,34.8649019,40.00301745,44.56474907,6.165785664,152.2330588,29351.93
Wheat,Hard Red,Uttar Pradesh,Rabi,Saline,99.904429,77.22222014,37.40179944,32.82893482,73.45599453,7.978796969,117.1894712,4211.53
Sugarcane,Co 86032,Uttar Pradesh,Rabi,Silt,34.60935998,32.03824897,73.83522707,34.14228998,77.24129572,4.685254441,276.5319972,83747.95
Wheat,Hard Red,Haryana,Rabi,Silt,29.63028319,20.6603481,96.0195328,43.50575443,41.92740008,7.476022957,22.72606234,4347.28
Sugarcane,Co 86032,Andhra Pradesh,Rabi,Saline,146.9808391,47.03442558,16.95292355,15.82214906,83.1314031,4.762289097,350.1047737,65304.13
Wheat,Durum,Punjab,Rabi,Sandy,54.96240832,61.23786226,93.66029263,19.40238274,69.84176114,5.411593812,362.4485333,5418.38
Rice,Arborio,Uttar Pradesh,Kharif,Loamy,128.1967499,12.23985837,87.6926656,39.50399378,34.84310792,6.135389559,236.9325493,7527.12
Tomato,Beefsteak,Karnataka,Kharif,Sandy,118.3417994,62.73580183,96.31843186,37.6226043,89.43751095,7.537221111,153.0791458,36780.91
Wheat,Soft Red,Uttar Pradesh,Rabi,Saline,97.41681147,62.43150155,86.38992849,13.03051995,49.19605482,7.111274128,212.2429832,4654.83
Rice,Jasmine,Punjab,Zaid,Sandy,70.68945184,45.14720807,41.52371009,41.379006,48.62096746,7.048327094,113.4295317,4379.18
Wheat,Hard Red,Rajasthan,Rabi,Peaty,34.31519275,62.76773847,73.63414172,25.37181658,89.58150802,7.847558063,362.8327386,4493.44
Wheat,Durum,Haryana,Rabi,Peaty,133.4857232,17.2978895,71.62158281,34.15818907,36.1534812,8.279641167,127.8882498,4139.56
Maize,Sweet,Madhya Pradesh,Kharif,Peaty,116.1558765,45.370325,69.39295729,28.16405119,70.69313896,6.120394787,300.2596408,7532.21
Maize,Flint,Rajasthan,Kharif,Clay,19.29077795,44.35113348,19.94264323,31.92324881,73.28616169,7.254733085,347.8983617,5356.74
Sugarcane,Co 99004,Uttar Pradesh,Rabi,Silt,95.80010802,43.90014316,46.83894855,21.85637493,46.41756068,8.418345747,65.38190233,86178.75
Maize,Sweet,Karnataka,Rabi,Clay,38.62690438,42.21517549,82.13626532,14.64041462,85.62668017,5.907024175,141.867945,5581.33
Sugarcane,Co 99004,Karnataka,Kharif,Saline,88.14117312,49.21364995,22.4896614,33.36923458,31.97108221,8.259296656,187.8708198,69759.49
Tomato,Roma,Maharashtra,Kharif,Silt,106.8330485,89.6665223,99.31717516,33.72936168,69.31268415,6.41642288,258.7368721,50050.37
Potato,Yukon Gold,Madhya Pradesh,Zaid,Saline,133.4051885,72.20414967,64.44758071,32.153424,75.02895496,6.341879167,218.5082932,23847.53
Tomato,Cherry,Maharashtra,Rabi,Clay,27.70658079,42.72469918,14.28744764,37.75326043,61.79280734,5.735165582,26.54267205,21536.96
Sugarcane,Co 99004,Andhra Pradesh,Kharif,Silt,17.58963771,28.13910183,99.57724681,25.64904792,83.11654533,5.31568583,106.1477313,80833.28
Rice,Arborio,Uttar Pradesh,Kharif,Silt,17.64951965,84.16566742,95.98171112,16.65409921,53.53707418,6.902952088,297.4516633,7620.29
Sugarcane,Co 86032,Andhra Pradesh,Rabi,Peaty,83.18947213,60.55537978,67.63945149,15.43745932,51.55212937,4.643981939,387.4358194,91297
Tomato,Roma,Maharashtra,Rabi,Loamy,74.82458846,25.21157774,30.65473325,18.33957272,54.44827025,7.458956855,46.11966151,29143.67
Wheat,Durum,Haryana,Rabi,Clay,141.9051239,53.35922206,38.05921976,10.98761263,71.97254232,8.292698575,100.3417583,4888.19
Sugarcane,Co 99004,Uttar Pradesh,Kharif,Loamy,131.6705247,55.35660988,76.20796774,18.52019228,97.20328339,5.820142368,204.8658108,126630.52
Sugarcane,Co 99004,Uttar Pradesh,Rabi,Loamy,43.16923809,85.96435481,32.20112114,40.81665403,61.31241323,5.731319705,183.8945376,98941.43
Rice,Jasmine,Andhra Pradesh,Kharif,Saline,135.9447784,54.1707655,34.05492158,42.64550309,74.66478418,5.354223272,220.3972056,4205.08
Wheat,Hard Red,Uttar Pradesh,Rabi,Silt,62.18099238,21.64784998,81.92919214,14.60103888,72.90650885,6.890994569,397.2103518,6299
Wheat,Soft Red,Uttar Pradesh,Rabi,Peaty,128.1471595,30.42198047,61.69280927,10.19661009,72.34027807,6.511411597,260.5266447,5560.66
Rice,Arborio,West Bengal,Zaid,Sandy,97.60678195,83.59549928,30.36767977,39.4113815,56.00831394,6.944487987,323.2371797,6008.82
Rice,Arborio,Tamil Nadu,Kharif,Clay,24.5611084,56.44960152,19.41075625,36.7172828,51.47397207,7.686106719,373.1373691,5450.43
Maize,Sweet,Madhya Pradesh,Kharif,Sandy,115.7675959,6.531082659,30.01905297,35.99819222,35.03422617,6.831289419,269.645167,6147.12
Rice,Basmati,Tamil Nadu,Kharif,Sandy,7.586859833,79.34138599,51.88600319,36.80844074,93.64582395,5.10746326,74.64661508,3673.54
Rice,Basmati,Tamil Nadu,Kharif,Silt,36.53005547,39.10689607,18.39101242,20.39326022,34.19556012,5.611330931,353.0014088,5241.12
Sugarcane,Co 86032,Uttar Pradesh,Kharif,Silt,135.1440068,56.37276975,41.28147468,37.18928386,38.68204219,6.660233914,160.1382665,100527.64
Tomato,Cherry,Andhra Pradesh,Rabi,Saline,44.56439106,51.89254684,47.82129608,17.23595202,59.29119717,7.059257179,183.5890773,22389.27
Maize,Sweet,Karnataka,Rabi,Sandy,113.1942647,69.92828521,77.89003624,37.61235348,62.06855909,8.419014311,40.55944867,5093.85
Wheat,Hard Red,Madhya Pradesh,Rabi,Peaty,86.91074248,34.76192428,63.27731127,19.65245058,98.55078002,6.272762902,274.8990987,5416.17
Rice,Basmati,Tamil Nadu,Kharif,Saline,85.84851041,63.67047227,51.37118682,34.44416826,33.78295969,6.486811719,259.9562025,4768.82
Maize,Flint,Rajasthan,Kharif,Clay,97.07214076,26.5469029,42.37398906,33.84856766,57.87131878,5.639395905,370.6687025,6723.18
Wheat,Durum,Haryana,Rabi,Loamy,95.43907177,45.0893172,60.20644416,39.36709647,80.64017439,4.960800705,222.4293025,6094.68
Tomato,Roma,Tamil Nadu,Rabi,Loamy,46.89293074,85.27847633,54.49833914,10.6267331,75.21946512,8.479214649,217.3434797,35785.06
Potato,Red,Punjab,Rabi,Peaty,86.22119335,46.33851658,70.59834426,24.42829677,84.03525419,4.533587115,283.4069807,28828.61
Sugarcane,Co 0238,Andhra Pradesh,Kharif,Peaty,96.53377256,16.95536394,73.0922016,35.36235791,99.89891034,8.19663312,282.8314875,89310.21
Rice,Basmati,West Bengal,Kharif,Clay,40.18339814,72.6348024,28.79045196,40.3602756,47.60496597,5.41750206,338.6293987,5388.37
Wheat,Hard Red,Rajasthan,Rabi,Loamy,6.30899734,46.42600296,14.03214584,18.62818841,78.80717191,7.729892824,192.6018583,4144.84
Potato,Red,West Bengal,Rabi,Loamy,11.60498681,29.09146013,91.43918337,14.50353801,64.81657081,6.759272375,305.5712393,31125.06
Wheat,Durum,Madhya Pradesh,Rabi,Clay,88.5688861,86.67426526,22.93416221,33.70013715,52.78710546,8.17493605,221.5456536,4617.43
Maize,Flint,Uttar Pradesh,Zaid,Loamy,145.9997315,20.39459874,29.80603616,37.89004959,99.76468071,5.590865596,175.0898149,6576.33
Sugarcane,Co 99004,Maharashtra,Kharif,Saline,63.304425,17.12878083,52.50776175,23.72664782,30.55867154,8.106728922,23.82446806,49294.27
Potato,Yukon Gold,Punjab,Zaid,Sandy,97.7082054,20.43456873,42.73681573,16.66323193,95.41666147,4.520914201,83.31525496,22347.93
Maize,Dent,Rajasthan,Zaid,Clay,113.479433,59.45322356,50.20521241,39.75438504,96.90277221,4.584370064,96.16174113,5283.27
Rice,Arborio,Andhra Pradesh,Zaid,Loamy,103.7969941,27.79151425,25.93158138,44.29977335,40.1474553,7.036882715,284.3715851,6284.17
Potato,Yukon Gold,Madhya Pradesh,Zaid,Silt,55.183757,34.92729124,44.53721639,37.97304592,98.34028814,4.619689578,227.3223991,25041.91
Wheat,Hard Red,Punjab,Rabi,Clay,9.011352233,52.38339925,32.99431743,33.91548991,45.75629074,4.933421021,201.2939196,4436.9
Wheat,Hard Red,Uttar Pradesh,Rabi,Sandy,107.4098729,53.59720873,23.72327893,26.44097015,47.23623678,5.230400322,33.24072515,3948.12
Potato,Red,West Bengal,Zaid,Saline,48.98398405,31.7343836,19.51665044,15.61264139,99.95040139,5.360347067,155.4424222,15000.78
Rice,Arborio,Punjab,Kharif,Saline,37.16477614,86.9299577,37.64051046,36.30160438,55.98432404,5.033364759,293.4712216,5319.45
Potato,Russet,Uttar Pradesh,Rabi,Loamy,27.59378,86.26529801,52.13990164,39.86148217,53.29340283,5.633008595,33.96102057,24241.99
Maize,Sweet,Uttar Pradesh,Kharif,Sandy,38.64208,38.69494267,97.65587221,25.37959483,67.25498446,8.137399978,371.4936392,5937.08
Sugarcane,Co 0238,Karnataka,Kharif,Clay,48.83169113,76.52213522,58.27267247,30.05890888,55.05791095,5.116085696,146.0967109,86200.25
Tomato,Roma,Andhra Pradesh,Zaid,Peaty,48.03690129,37.76370224,62.1485644,37.84416832,79.20197413,4.790203149,184.885838,26247.82
Potato,Yukon Gold,West Bengal,Rabi,Peaty,143.4468625,41.16807012,23.34086112,10.71320358,51.75678696,6.979777998,371.6549185,32123.08
Maize,Sweet,Uttar Pradesh,Kharif,Silt,42.87547044,55.65670848,84.79272948,42.76756464,44.66186454,4.954489917,215.4333341,6983.14
Wheat,Hard Red,Rajasthan,Rabi,Loamy,149.79901,46.90360783,23.31337308,14.41728977,80.7584258,7.965458843,42.25344659,4229.51
Potato,Russet,Madhya Pradesh,Rabi,Clay,54.12277708,57.59951249,31.89332788,16.39600671,79.07145683,5.380651989,116.8832568,24011.31
Sugarcane,Co 99004,Andhra Pradesh,Rabi,Loamy,122.5953001,75.21132543,47.25806967,14.58440636,76.36162027,7.487229575,184.7031519,104935.48
Sugarcane,Co 86032,Uttar Pradesh,Kharif,Loamy,146.2659118,77.44058837,43.26080788,18.70617224,97.49662652,7.506456006,123.0496299,100575.18
Tomato,Roma,Andhra Pradesh,Rabi,Peaty,120.5985514,11.24044413,17.98044557,22.98191866,95.21452802,5.677659871,308.422962,32220.55
Tomato,Beefsteak,Tamil Nadu,Rabi,Peaty,122.7292435,72.18654582,48.0570626,32.60843539,78.67585973,5.971640734,241.1463102,39169.42
Tomato,Beefsteak,Maharashtra,Rabi,Clay,114.5190668,79.40385582,26.87701839,23.27065901,43.98585273,8.306612674,288.6547161,37797.17
Tomato,Roma,Madhya Pradesh,Kharif,Peaty,116.5673445,31.56004817,71.23767139,33.45663499,54.51482215,6.984054822,62.18304916,29863.72
Rice,Basmati,Uttar Pradesh,Kharif,Clay,40.11782803,10.57732538,79.94698444,28.39726266,85.68118172,5.528523952,230.8892435,4768.09
Sugarcane,Co 86032,Karnataka,Rabi,Saline,47.46242675,30.11488423,86.9407385,33.08874951,63.26484875,6.621831412,107.965141,57677.26
Potato,Yukon Gold,West Bengal,Rabi,Clay,149.6969377,47.62666054,40.76428114,21.40209954,65.8403234,6.437821316,321.0305371,37882.56
Rice,Jasmine,Andhra Pradesh,Kharif,Sandy,87.28764248,9.012613945,71.47597132,23.628304,81.76000026,7.039776853,265.6080004,5430.16
Potato,Yukon Gold,Punjab,Rabi,Peaty,77.45890174,47.96986552,17.13139773,24.2685259,65.77261898,7.52977975,26.75691504,24723.36
Rice,Basmati,Punjab,Kharif,Loamy,46.45123304,44.59683461,46.97419835,19.77742481,58.81062671,5.028897594,265.4518137,6377.46
Rice,Jasmine,Punjab,Kharif,Sandy,103.7702485,48.71488419,93.46411914,20.97091294,95.31743051,6.320856392,242.0264812,6646.42
Wheat,Durum,Uttar Pradesh,Rabi,Loamy,56.12528994,22.58265275,24.51101234,11.91990182,83.85558419,8.29159762,343.0446141,4968.82
Tomato,Cherry,Andhra Pradesh,Kharif,Sandy,76.18308001,27.3712734,50.75807137,35.4113174,33.39740081,5.564612423,343.2559073,29868.4
Tomato,Beefsteak,Andhra Pradesh,Rabi,Peaty,78.72477616,42.94902073,12.70285588,38.12685599,36.25279467,6.163049258,305.7975318,34338.91
Tomato,Roma,Madhya Pradesh,Rabi,Clay,21.45153241,55.49612713,27.42881738,32.05528028,94.98507558,5.536233316,391.5633137,30012.55
Wheat,Soft Red,Haryana,Rabi,Silt,50.76166251,59.00022726,78.85088656,34.57588421,58.3555899,7.464719371,193.7732216,5949.23
Wheat,Durum,Madhya Pradesh,Rabi,Silt,66.82960795,50.84890768,71.73748839,41.98797969,74.3306058,5.376807056,73.23351345,4269.76
Wheat,Durum,Madhya Pradesh,Rabi,Loamy,146.5335606,86.86076566,92.43123566,25.94154409,89.75160412,6.670287425,237.4465426,6706.35
Wheat,Soft Red,Punjab,Rabi,Clay,89.45124681,64.59448478,15.64589104,16.05284699,80.67074522,6.344289118,207.0288497,6096.46
Wheat,Soft Red,Madhya Pradesh,Rabi,Clay,117.2013045,6.641925432,46.52762694,10.31507241,30.68462627,8.011674457,317.7739121,4533.43
Maize,Sweet,Karnataka,Kharif,Sandy,56.75142604,48.86887547,79.79273615,23.942773,64.28014443,6.78201864,324.2398081,7249.85
Potato,Yukon Gold,Haryana,Rabi,Sandy,14.86694934,38.87142844,16.89126717,11.28365704,65.14838292,8.192244035,197.3353063,21046.95
Tomato,Beefsteak,Karnataka,Kharif,Peaty,122.4092361,75.68796278,32.43305739,28.44925443,38.03377683,6.502732603,143.4481307,36563.94
Potato,Russet,Haryana,Zaid,Loamy,47.65639992,24.38155325,19.10067125,20.56846069,98.76024783,7.981671906,231.4872288,26795.48
Maize,Sweet,Rajasthan,Zaid,Clay,19.91653285,38.27677065,80.38311466,24.17694223,77.35429496,8.139296815,96.08732484,4001.34
Potato,Russet,Punjab,Zaid,Saline,16.68487684,42.10295459,55.40180038,41.26516676,92.81168741,6.329644182,294.7800807,19821.23
Sugarcane,Co 0238,Tamil Nadu,Rabi,Loamy,117.8830446,25.72812522,56.49165715,29.87607517,69.5755572,6.201377199,75.02291834,92662.41
Sugarcane,Co 86032,Andhra Pradesh,Kharif,Peaty,23.52895232,20.49394538,26.736804,27.00252113,57.31059882,7.651539679,66.31358125,56456.85
Maize,Sweet,Uttar Pradesh,Zaid,Silt,61.82864211,25.09183064,91.93000024,43.26482805,96.9810926,6.556554031,155.3834599,6600.2
Maize,Dent,Madhya Pradesh,Kharif,Sandy,43.37598221,52.02261451,99.0241126,26.50102933,37.35868239,5.337091089,255.9643717,6628.94
Sugarcane,Co 86032,Tamil Nadu,Rabi,Sandy,74.47256753,21.07612098,20.41904757,19.91161568,70.42169809,5.334181691,394.8282189,73489.48
Rice,Arborio,Punjab,Kharif,Saline,47.57003617,89.91511802,58.48458607,19.668661,76.36709569,6.247552192,104.7402735,5011.19
Wheat,Hard Red,Uttar Pradesh,Rabi,Clay,77.2131957,38.81104979,97.71905002,33.01911829,66.62781603,5.048208576,192.2109127,5650.42
Maize,Flint,Madhya Pradesh,Rabi,Sandy,33.39470856,49.40804195,97.21003889,17.70759509,39.83912497,6.277643779,340.3437132,6192.32
Wheat,Soft Red,Uttar Pradesh,Rabi,Silt,64.1717962,71.72308966,22.31462331,31.60125103,94.85643513,6.923098197,293.9442439,6018.13
Maize,Dent,Madhya Pradesh,Kharif,Clay,26.599621,41.04882168,91.58372321,15.43595076,67.47928326,6.384981212,29.72620642,6034.19
Tomato,Cherry,Maharashtra,Rabi,Saline,98.00008738,6.356137505,51.63257,12.67445006,80.12728959,6.529031765,164.3392975,22065.73
Rice,Jasmine,Tamil Nadu,Kharif,Sandy,5.009632319,31.64718802,54.39559731,22.45348149,65.93897455,5.604860118,105.4761188,3692.45
Potato,Red,Haryana,Rabi,Saline,122.0998717,71.46821331,22.72788423,12.88834003,88.82473984,5.401702549,383.8428848,23281.1
Tomato,Beefsteak,Karnataka,Zaid,Loamy,29.86683198,18.82298873,44.43202466,39.78816606,55.42194717,6.99670891,270.4030537,32322.27
Wheat,Durum,Rajasthan,Rabi,Silt,123.9081576,40.8517595,54.24819639,42.85285928,73.81160626,7.544409902,307.1282201,5353.62
Sugarcane,Co 0238,Maharashtra,Rabi,Silt,54.22761117,33.12595339,53.03295983,32.03062004,80.16953133,8.330549435,61.71472154,70197.56
Potato,Russet,Haryana,Zaid,Silt,54.53625076,42.17546004,69.8985662,32.13973741,36.40894645,6.343449941,296.2815319,32997.3
Rice,Basmati,Tamil Nadu,Kharif,Clay,105.6308546,85.63944045,48.16490432,44.64220349,50.0106207,7.14780692,67.64691664,5314.61
Rice,Basmati,Uttar Pradesh,Kharif,Saline,134.9789626,87.71621093,90.36473227,24.24887141,72.70314034,6.917872288,238.5812087,5259.62
Maize,Sweet,Uttar Pradesh,Rabi,Silt,146.4779413,33.18559447,38.43222676,27.44185908,55.28405121,8.421572787,330.4619942,7806.24
Sugarcane,Co 99004,Andhra Pradesh,Rabi,Saline,62.64608948,22.69627654,15.55521112,35.09432371,33.61462231,7.217004618,62.0170958,52582.23
Wheat,Soft Red,Uttar Pradesh,Rabi,Silt,20.17335076,58.58104444,18.97262647,30.43665367,54.86088031,5.576555081,332.9477436,5323.44
Wheat,Durum,Madhya Pradesh,Rabi,Clay,99.66396315,34.5465478,93.03583072,22.20989676,80.52105361,5.871391115,167.1572295,4993.07
Potato,Yukon Gold,West Bengal,Rabi,Clay,104.2411013,47.73572681,84.19528421,27.08385467,40.79890227,4.91032524,101.5822814,32064.72
Tomato,Beefsteak,Tamil Nadu,Kharif,Peaty,30.08276121,80.35604185,99.41475917,29.82660287,50.56359898,5.358491907,319.6854712,39462.69
Wheat,Hard Red,Punjab,Rabi,Silt,140.6631288,65.86215402,66.7799898,41.19472188,39.90741858,7.792691662,345.2814829,7442.84
Potato,Russet,Uttar Pradesh,Rabi,Saline,64.49865662,31.316038,83.51792845,34.97915803,32.59606953,5.839365955,23.14281448,18571.68
Rice,Arborio,Tamil Nadu,Kharif,Silt,119.8485961,52.9982575,78.1253404,41.42334433,31.44671053,4.870425766,26.07365998,5706.01
Tomato,Roma,Madhya Pradesh,Zaid,Sandy,120.1925811,42.41425132,26.28584903,20.8449263,64.56843912,6.51893507,129.8488291,27147.93
Potato,Yukon Gold,Punjab,Rabi,Sandy,117.0287128,68.58927664,89.69042705,20.15508334,69.563436,8.40443994,214.5955757,33596.96
Tomato,Beefsteak,Tamil Nadu,Rabi,Saline,100.1567154,50.39257955,40.02683843,42.18233768,82.62183466,7.094624532,49.54277351,22472.12
Maize,Dent,Karnataka,Kharif,Peaty,103.651841,88.47197467,58.45339662,11.56015943,84.52535493,8.00640412,29.96981237,6160.83
Tomato,Cherry,Madhya Pradesh,Zaid,Saline,28.05633893,69.2188022,64.79598648,41.39218661,94.50612906,7.987911341,22.36136426,15195.27
Wheat,Soft Red,Madhya Pradesh,Rabi,Sandy,130.5732958,9.885505137,88.19175844,44.26923547,81.51399149,5.906225247,41.26908408,3836.5
Maize,Dent,Maharashtra,Rabi,Peaty,47.23756245,48.9003347,46.91099825,20.95238907,54.40856851,6.879494536,156.041842,6072.91
Sugarcane,Co 0238,Andhra Pradesh,Kharif,Clay,20.08665563,22.23224256,46.38728259,16.00706,93.10368717,7.177790352,58.51874142,69332.12
Sugarcane,Co 0238,Uttar Pradesh,Kharif,Silt,75.30366233,71.18781048,83.82897294,27.61123727,39.87450946,4.652199409,375.1563332,113106.05
Maize,Dent,Karnataka,Zaid,Sandy,110.5046134,42.38937202,51.53655419,13.95490814,83.12335238,5.026022898,31.74897064,4981.96
Sugarcane,Co 99004,Andhra Pradesh,Rabi,Saline,88.27072473,52.18780373,82.09249732,39.79126077,95.10674689,6.909991229,387.4183752,81302.96
Sugarcane,Co 0238,Maharashtra,Rabi,Loamy,29.06566969,40.19389117,85.18566519,12.83512057,33.93969126,7.306991545,217.4521273,90484.1
Rice,Jasmine,Tamil Nadu,Zaid,Peaty,68.99403926,16.80680549,78.86226577,15.3875046,80.25798207,7.016012976,35.25285751,3884.73
Potato,Russet,Haryana,Rabi,Clay,58.16274897,56.95522661,62.01783722,29.5320337,92.09313413,8.481142856,162.9663505,28427.29
Maize,Flint,Rajasthan,Kharif,Saline,21.97411724,63.01013276,92.25276511,17.94431771,61.59845875,5.976337568,261.2770286,4885.42
Maize,Flint,Rajasthan,Zaid,Clay,45.18455328,64.5658296,41.09724808,23.9791573,40.68841841,4.692699564,179.7760119,5119.87
Sugarcane,Co 0238,Tamil Nadu,Kharif,Peaty,82.83495897,59.22870195,22.81653723,33.54112154,66.52940458,5.955256114,396.2132958,101330.17
Tomato,Beefsteak,Karnataka,Kharif,Peaty,82.31259035,25.51081917,20.76387697,16.14358248,36.80219894,5.623841152,115.0294572,29286.79
Maize,Flint,Madhya Pradesh,Rabi,Saline,145.1115498,54.27624996,23.25459731,28.87577382,42.36152899,8.444183267,88.28722245,4162.8
Tomato,Cherry,Madhya Pradesh,Kharif,Peaty,8.156562634,5.943945678,13.99063718,11.85216953,33.38267058,4.930903211,73.88553649,17239.97
Potato,Russet,Punjab,Rabi,Silt,124.99889,17.08426867,70.13099236,43.39285207,30.86685406,7.372577643,367.6507553,34974.21
Wheat,Durum,Haryana,Rabi,Sandy,49.17322873,60.13719324,75.26730855,17.95526234,50.77737986,5.65749515,43.12797851,4115.9
Tomato,Cherry,Andhra Pradesh,Kharif,Loamy,109.412862,12.96007066,39.43875863,18.79955345,36.47405906,4.561381778,340.5531696,38096.61
Sugarcane,Co 0238,Andhra Pradesh,Kharif,Sandy,139.3507818,13.8592642,55.83829424,24.75821873,57.42779865,7.388524638,380.5805508,96812.32
Rice,Jasmine,Andhra Pradesh,Kharif,Loamy,99.37151673,12.24908907,33.98904699,40.76345477,35.46508417,5.270580142,288.4848239,6082.62
Wheat,Hard Red,Rajasthan,Rabi,Sandy,20.82312215,32.63888984,85.41810091,32.76628772,63.65056145,6.861702284,387.3020828,4340.2
Sugarcane,Co 99004,Karnataka,Rabi,Clay,29.96535337,73.90517251,75.04759099,13.77152525,82.9389474,5.809571786,20.36854514,70912.43
Rice,Basmati,Punjab,Zaid,Sandy,71.07208033,38.09031955,94.58342404,34.30306003,62.78794239,4.896462285,290.9292892,5212.06
Maize,Dent,Uttar Pradesh,Kharif,Clay,87.31694275,83.38001788,85.97534286,23.65868745,71.56052469,5.75042144,371.5323913,10892.08
Tomato,Cherry,Maharashtra,Rabi,Clay,27.97988093,45.5924693,88.48181857,21.32164751,51.29724884,6.42885651,27.00916081,23817.7
Tomato,Roma,Andhra Pradesh,Zaid,Clay,95.26436625,80.96040822,37.74542191,41.02293893,46.84514261,5.27929523,325.4101818,35457.84
Maize,Flint,Uttar Pradesh,Kharif,Saline,87.05107074,89.20169205,86.89950389,33.6876743,42.54469388,6.736612285,288.5462997,7299.06
Maize,Dent,Maharashtra,Rabi,Peaty,102.1264041,60.88734442,24.05407517,17.86371914,81.42277585,5.992516165,337.4554337,7437.15
Sugarcane,Co 0238,Tamil Nadu,Kharif,Loamy,37.03504541,79.09521216,91.95807014,23.49941945,96.74642692,6.36877754,101.8490342,97715.78
Wheat,Durum,Rajasthan,Rabi,Peaty,25.62196865,59.50661187,35.64174374,27.11733111,68.00811328,8.086200148,283.6100872,3727.19
Wheat,Soft Red,Haryana,Rabi,Silt,142.7280284,52.48141229,91.98016216,33.35785563,61.75942878,4.524970604,202.4285622,6435.12
Potato,Yukon Gold,Punjab,Rabi,Peaty,54.43611827,40.7326281,61.91988324,15.76441185,32.37495008,6.538136301,304.3802505,32601.21
Sugarcane,Co 99004,Karnataka,Kharif,Silt,146.8462155,69.59906554,38.98921744,32.48082737,39.56682276,7.49504761,167.5299637,100339.54
Tomato,Beefsteak,Maharashtra,Kharif,Sandy,28.02543699,17.03789549,56.30454755,43.98201333,44.56400799,7.733561275,218.6599867,26959.83
Potato,Red,Haryana,Rabi,Sandy,115.0207209,19.10916467,85.35249035,28.13880641,44.92058701,6.027143972,106.3174461,26921.31
Maize,Sweet,Karnataka,Kharif,Silt,30.83003961,46.59802224,32.03976807,26.61491006,78.98259403,5.799037451,320.3880725,6678.64
Tomato,Cherry,Maharashtra,Kharif,Peaty,36.38596345,10.06206948,31.00610769,14.49022998,75.9583981,7.29915672,119.6658092,21561.21
Tomato,Cherry,Tamil Nadu,Kharif,Silt,69.27119976,42.43614561,84.07165144,27.20566129,45.43286584,6.654640636,140.1757034,36642.95
Wheat,Hard Red,Haryana,Rabi,Clay,144.2170242,11.00057487,29.83460865,24.35074043,85.51538533,6.032050049,120.2747464,5165.39
Rice,Arborio,West Bengal,Zaid,Saline,74.74836404,46.85560308,41.95937082,21.92560264,73.20635932,7.585843464,202.5394161,4258.72
Maize,Sweet,Madhya Pradesh,Kharif,Sandy,43.26727594,11.02356377,91.77641405,25.33657981,59.47610308,6.243580434,260.3984261,6079.27
Tomato,Roma,Maharashtra,Kharif,Clay,49.07253544,65.97606124,76.37107252,14.53304424,66.25137765,5.889127695,348.6143047,37475.42
Potato,Yukon Gold,Haryana,Rabi,Peaty,54.16196964,80.9325602,92.56689194,32.12980246,96.12581329,6.35317083,112.1369686,31774.38
Tomato,Roma,Madhya Pradesh,Rabi,Loamy,11.18584439,42.31793364,35.1084653,35.50783393,64.91274048,5.40322563,142.9798241,27318.17
Sugarcane,Co 0238,Karnataka,Kharif,Clay,84.29079468,31.99855686,62.45811997,12.82791929,30.85447674,5.803404741,23.16873968,77081.58
Rice,Arborio,Tamil Nadu,Kharif,Peaty,99.9655608,46.48879046,91.92384543,38.33531059,67.35146829,7.901383569,129.7685599,5964.38
Wheat,Soft Red,Punjab,Rabi,Loamy,52.93011362,58.89392866,75.60602577,22.6917831,89.95241017,6.20350025,40.76118611,5551.71
Sugarcane,Co 99004,Andhra Pradesh,Kharif,Sandy,99.67617905,88.93155467,82.66899194,43.5251499,99.52426262,7.357121243,271.590183,100148.35
Tomato,Roma,Tamil Nadu,Kharif,Loamy,52.46150064,68.88330874,27.4303467,36.48152736,54.12469532,5.50140263,338.8792574,42499.05
Potato,Russet,Punjab,Zaid,Clay,27.05163084,16.76112862,35.02978825,41.72371467,75.39824164,7.153919007,242.6959236,24156.43
Wheat,Hard Red,Uttar Pradesh,Rabi,Loamy,8.941387541,80.68962067,73.583156,33.10442383,80.61594159,6.547092547,349.2271494,6540.44
Wheat,Durum,Rajasthan,Rabi,Peaty,128.0103969,83.54255151,57.14814026,30.08530301,40.63635309,8.420798623,302.1029058,4782.13
Sugarcane,Co 86032,Maharashtra,Kharif,Clay,7.179247863,74.14540601,11.37983146,42.74437897,90.04959244,7.142279998,261.4187724,69998
Potato,Russet,Punjab,Rabi,Loamy,35.50282675,10.59166101,10.98208062,13.78680282,43.72665258,4.83464133,220.9051087,26207.27
